Nº,Temp.,Ph.,Turbidez.,Densidade.,data,tipo

1,200.0,5.0,2.0,200.0,10/12/22,Octanagem

2,300.0,14.0,6.0,300.0,10/12/22,Detergente

3,100.0,1.0,1.0,100.0,10/12/22,Detergente

4,200.0,5.0,2.0,200.0,10/12/22,Octanagem

5,260.0,6.2,3.0,260.0,11/12/22,Oxigenadores

6,280.0,5.0,1.0,280.0,11/12/22,Octanagem
7,0.0,0.0,0.0,0.0,12/12/22,Octanagem
8,0.0,0.0,0.0,0.0,12/12/22,Octanagem
9,0.0,0.0,0.0,0.0,12/12/22,Octanagem
10,0.0,0.0,0.0,0.0,12/12/22,Octanagem
11,0.0,0.0,0.0,0.0,12/12/22,Octanagem
12,0.0,0.0,0.0,0.0,12/12/22,Octanagem
13,0.0,0.0,0.0,0.0,12/12/22,Octanagem
14,0.0,0.0,0.0,0.0,12/12/22,Octanagem
15,0.0,0.0,0.0,0.0,12/12/22,Octanagem
16,0.0,0.0,0.0,0.0,12/12/22,Octanagem
17,0.0,0.0,0.0,0.0,12/12/22,Octanagem
18,0.0,0.0,0.0,0.0,12/12/22,Octanagem
19,0.0,0.0,0.0,0.0,12/12/22,Octanagem
20,0.0,0.0,0.0,0.0,12/12/22,Octanagem
21,0.0,0.0,0.0,0.0,12/12/22,Octanagem
22,0.0,0.0,0.0,0.0,12/12/22,Octanagem
23,0.0,0.0,0.0,0.0,12/12/22,Octanagem
24,0.0,0.0,0.0,0.0,12/12/22,Octanagem
25,0.0,0.0,0.0,0.0,12/12/22,Octanagem
26,0.0,0.0,0.0,0.0,12/12/22,Octanagem
27,0.0,0.0,0.0,0.0,12/12/22,Octanagem
28,0.0,0.0,0.0,0.0,12/12/22,Octanagem
29,0.0,0.0,0.0,0.0,12/12/22,Octanagem
30,0.0,0.0,0.0,0.0,12/12/22,Octanagem
31,0.0,0.0,0.0,0.0,12/12/22,Octanagem
32,0.0,0.0,0.0,0.0,12/12/22,Octanagem
33,0.0,0.0,0.0,0.0,12/12/22,Octanagem
34,0.0,0.0,0.0,0.0,12/12/22,Octanagem
35,0.0,0.0,0.0,0.0,12/12/22,Octanagem
36,0.0,0.0,0.0,0.0,12/12/22,Octanagem
37,0.0,0.0,0.0,0.0,12/12/22,Octanagem
38,0.0,0.0,0.0,0.0,12/12/22,Octanagem
39,0.0,0.0,0.0,0.0,12/12/22,Octanagem
40,0.0,0.0,0.0,0.0,12/12/22,Octanagem
41,0.0,0.0,0.0,0.0,12/12/22,Octanagem
42,0.0,0.0,0.0,0.0,12/12/22,Octanagem
43,0.0,0.0,0.0,0.0,12/12/22,Octanagem
44,0.0,0.0,0.0,0.0,12/12/22,Octanagem
45,0.0,0.0,0.0,0.0,12/12/22,Octanagem
46,0.0,0.0,0.0,0.0,12/12/22,Octanagem
47,0.0,0.0,0.0,0.0,12/12/22,Octanagem
48,0.0,0.0,0.0,0.0,12/12/22,Octanagem
49,0.0,0.0,0.0,0.0,12/12/22,Octanagem
50,0.0,0.0,0.0,0.0,12/12/22,Octanagem
51,0.0,0.0,0.0,0.0,12/12/22,Octanagem
52,0.0,0.0,0.0,0.0,12/12/22,Octanagem
53,0.0,0.0,0.0,0.0,12/12/22,Octanagem
54,0.0,0.0,0.0,0.0,12/12/22,Octanagem
55,0.0,0.0,0.0,0.0,12/12/22,Octanagem
56,0.0,0.0,0.0,0.0,12/12/22,Octanagem
57,0.0,0.0,0.0,0.0,12/12/22,Octanagem
58,0.0,0.0,0.0,0.0,12/12/22,Octanagem
59,0.0,0.0,0.0,0.0,12/12/22,Octanagem
60,0.0,0.0,0.0,0.0,12/12/22,Octanagem
61,0.0,0.0,0.0,0.0,12/12/22,Octanagem
62,0.0,0.0,0.0,0.0,12/12/22,Octanagem
63,0.0,0.0,0.0,0.0,12/12/22,Octanagem
64,0.0,0.0,0.0,0.0,12/12/22,Octanagem
65,0.0,0.0,0.0,0.0,12/12/22,Octanagem
66,0.0,0.0,0.0,0.0,12/12/22,Octanagem
67,0.0,0.0,0.0,0.0,12/12/22,Octanagem
68,0.0,0.0,0.0,0.0,12/12/22,Octanagem
69,0.0,0.0,0.0,0.0,12/12/22,Octanagem
70,0.0,0.0,0.0,0.0,12/12/22,Octanagem
71,0.0,0.0,0.0,0.0,12/12/22,Octanagem
72,0.0,0.0,0.0,0.0,12/12/22,Octanagem
73,0.0,0.0,0.0,0.0,12/12/22,Octanagem
74,0.0,0.0,0.0,0.0,12/12/22,Octanagem
75,0.0,0.0,0.0,0.0,12/12/22,Octanagem
76,0.0,0.0,0.0,0.0,12/12/22,Octanagem
77,0.0,0.0,0.0,0.0,12/12/22,Octanagem
78,0.0,0.0,0.0,0.0,12/12/22,Octanagem
79,0.0,0.0,0.0,0.0,12/12/22,Octanagem
80,0.0,0.0,0.0,0.0,12/12/22,Octanagem
81,0.0,0.0,0.0,0.0,12/12/22,Octanagem
82,0.0,0.0,0.0,0.0,12/12/22,Octanagem
83,0.0,0.0,0.0,0.0,12/12/22,Octanagem
84,0.0,0.0,0.0,0.0,12/12/22,Octanagem
85,0.0,0.0,0.0,0.0,12/12/22,Octanagem
86,0.0,0.0,0.0,0.0,12/12/22,Octanagem
87,0.0,0.0,0.0,0.0,12/12/22,Octanagem
88,0.0,0.0,0.0,0.0,12/12/22,Octanagem
89,0.0,0.0,0.0,0.0,12/12/22,Octanagem
90,0.0,0.0,0.0,0.0,12/12/22,Octanagem
91,0.0,0.0,0.0,0.0,12/12/22,Octanagem
92,0.0,0.0,0.0,0.0,12/12/22,Octanagem
93,0.0,0.0,0.0,0.0,12/12/22,Octanagem
94,0.0,0.0,0.0,0.0,12/12/22,Octanagem
95,0.0,0.0,0.0,0.0,12/12/22,Octanagem
96,0.0,0.0,0.0,0.0,12/12/22,Octanagem
97,0.0,0.0,0.0,0.0,12/12/22,Octanagem
98,0.0,0.0,0.0,0.0,12/12/22,Octanagem
99,0.0,0.0,0.0,0.0,12/12/22,Octanagem
100,0.0,0.0,0.0,0.0,12/12/22,Octanagem
101,0.0,0.0,0.0,0.0,12/12/22,Octanagem
102,0.0,0.0,0.0,0.0,12/12/22,Octanagem
103,0.0,0.0,0.0,0.0,12/12/22,Octanagem
104,0.0,0.0,0.0,0.0,12/12/22,Octanagem
105,0.0,0.0,0.0,0.0,12/12/22,Octanagem
106,0.0,0.0,0.0,0.0,12/12/22,Octanagem
107,0.0,0.0,0.0,0.0,12/12/22,Octanagem
108,0.0,0.0,0.0,0.0,12/12/22,Octanagem
